                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.407,                 1.9145,                 1.8637,                0.38586,                0.38415,                0.32687,                0.13919,                 1.9066,                 2.6361,                 2.2282,               0.070032,              0.0033298,              0.0033298
                      1,                 1.4461,                 1.9909,                  1.897,                0.40944,                0.38655,                0.32329,                0.13203,                 1.9194,                 2.7599,                 2.2821,               0.039966,              0.0065972,              0.0065972
                      2,                 1.5093,                 2.0977,                 1.9435,                0.34437,                0.36975,                0.26449,                0.10705,                 1.9363,                 3.1651,                 2.3182,              0.0098338,              0.0097985,              0.0097985
                      3,                  1.564,                 2.2172,                 2.0188,                0.33842,                0.33854,                 0.2704,                0.10337,                 1.9494,                 3.3356,                 2.3394,               0.009703,               0.009703,               0.009703
                      4,                 1.5682,                 2.2057,                 2.0124,                0.35005,                0.35414,                0.26538,                0.10109,                  1.933,                 3.0104,                  2.312,               0.009703,               0.009703,               0.009703
                      5,                 1.5823,                 2.2386,                  2.032,                 0.3532,                0.36777,                0.26966,                0.10256,                 1.9487,                 3.0595,                 2.3064,               0.009604,               0.009604,               0.009604
                      6,                 1.5726,                  2.247,                 2.0266,                0.34726,                0.33133,                0.25901,                0.10113,                 1.9282,                 3.2077,                  2.335,               0.009505,               0.009505,               0.009505
                      7,                 1.5769,                 2.2532,                 2.0203,                0.32709,                0.35054,                0.26665,                0.10022,                 1.9299,                 3.1557,                 2.2894,               0.009406,               0.009406,               0.009406
                      8,                 1.5659,                 2.2125,                 2.0141,                0.35812,                0.35894,                0.28397,                0.10568,                 1.9288,                 3.0665,                 2.2929,               0.009307,               0.009307,               0.009307
                      9,                 1.5706,                 2.2334,                 2.0233,                0.36167,                0.35096,                0.27615,                0.10834,                 1.9335,                 3.0491,                 2.2833,               0.009208,               0.009208,               0.009208
                     10,                  1.576,                 2.2279,                 2.0076,                0.35229,                0.36014,                0.26523,                0.10096,                 1.9352,                 3.1593,                 2.2982,               0.009109,               0.009109,               0.009109
                     11,                 1.5766,                 2.2298,                 2.0192,                0.33584,                0.32653,                0.26167,                0.09475,                 1.9326,                 3.1961,                 2.3308,                0.00901,                0.00901,                0.00901
                     12,                 1.5592,                 2.2177,                 2.0118,                0.32168,                0.39496,                0.26665,                0.10354,                 1.9275,                 3.2047,                 2.2859,               0.008911,               0.008911,               0.008911
                     13,                 1.5547,                 2.2019,                 2.0015,                0.34439,                0.37455,                0.26466,                0.10489,                 1.9215,                 3.0637,                 2.2655,               0.008812,               0.008812,               0.008812
                     14,                 1.5605,                 2.1943,                  2.005,                0.41963,                0.32053,                0.28667,                0.11561,                 1.9451,                 2.9611,                 2.2818,               0.008713,               0.008713,               0.008713
                     15,                  1.532,                 2.1687,                 1.9903,                0.40468,                0.37695,                0.30606,                0.12268,                 1.9535,                 2.8851,                 2.3116,               0.008614,               0.008614,               0.008614
                     16,                 1.5459,                 2.1704,                  1.997,                0.38868,                0.36975,                0.30172,                0.11884,                 1.9163,                 2.8466,                 2.2588,               0.008515,               0.008515,               0.008515
                     17,                 1.5545,                 2.1704,                 1.9918,                0.35155,                0.36615,                0.28466,                0.11065,                 1.9448,                 2.9566,                 2.3012,               0.008416,               0.008416,               0.008416
                     18,                 1.5385,                 2.1659,                 1.9788,                0.37191,                0.35826,                0.28174,                0.11632,                 1.8893,                 2.9385,                 2.2468,               0.008317,               0.008317,               0.008317
                     19,                 1.5365,                 2.1539,                 1.9906,                0.36145,                0.34214,                0.27426,                0.10677,                 1.9092,                 2.9528,                 2.2628,               0.008218,               0.008218,               0.008218
