                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2954,                 1.5973,                 1.7411,                0.38595,                0.41297,                0.33965,                0.14077,                 2.0027,                 2.5887,                 2.3613,               0.070032,              0.0033298,              0.0033298
                      1,                 1.2983,                 1.6044,                 1.7385,                0.43467,                0.38415,                0.33781,                0.14396,                 2.0111,                 2.7365,                 2.4002,               0.039958,              0.0065898,              0.0065898
                      2,                 1.3331,                 1.6631,                 1.7609,                0.38318,                0.35774,                 0.3088,                0.12556,                 2.0418,                 2.7636,                 2.4314,              0.0098118,              0.0097766,              0.0097766
                      3,                 1.3816,                  1.779,                 1.8216,                  0.418,                0.36735,                0.31264,                0.12657,                 2.0271,                 2.9535,                 2.4449,                0.00967,                0.00967,                0.00967
                      4,                 1.3992,                 1.7902,                 1.8318,                0.34794,                0.35534,                0.26665,                0.10202,                 2.0762,                 2.9653,                 2.4435,                0.00967,                0.00967,                0.00967
                      5,                  1.404,                 1.8043,                 1.8438,                0.40401,                0.38573,                0.31551,                0.12922,                 2.0102,                  2.884,                 2.3691,                0.00956,                0.00956,                0.00956
                      6,                 1.4066,                 1.8217,                 1.8433,                0.39268,                0.36638,                0.30711,                 0.1215,                 2.0318,                 2.9819,                 2.4146,                0.00945,                0.00945,                0.00945
                      7,                 1.4147,                 1.8336,                 1.8453,                0.42648,                0.34814,                0.32615,                0.12863,                 2.0537,                 3.0704,                 2.4491,                0.00934,                0.00934,                0.00934
                      8,                 1.4013,                 1.8015,                 1.8387,                0.39757,                0.37455,                0.30676,                   0.12,                   2.02,                 2.7807,                 2.3928,                0.00923,                0.00923,                0.00923
                      9,                 1.4135,                  1.825,                  1.847,                0.39281,                0.37215,                0.29991,                0.12078,                 2.0292,                 2.9122,                 2.3903,                0.00912,                0.00912,                0.00912
                     10,                 1.4151,                 1.8132,                 1.8388,                0.35961,                0.35414,                0.28948,                0.11771,                 2.0395,                 3.1155,                 2.4263,                0.00901,                0.00901,                0.00901
                     11,                 1.4091,                 1.8133,                 1.8365,                0.40922,                0.35054,                0.30105,                 0.1179,                 2.0197,                 2.9485,                 2.3951,                 0.0089,                 0.0089,                 0.0089
                     12,                 1.4032,                 1.8046,                  1.839,                0.36837,                0.38227,                0.30039,                0.11382,                 2.0592,                 2.9452,                 2.4216,                0.00879,                0.00879,                0.00879
                     13,                 1.3906,                 1.7822,                 1.8284,                0.40452,                0.35294,                0.30158,                0.12413,                 2.0317,                 3.1899,                 2.3962,                0.00868,                0.00868,                0.00868
                     14,                 1.3865,                 1.7851,                 1.8357,                0.38342,                0.36855,                0.30447,                0.12216,                 2.0526,                 2.9839,                 2.4378,                0.00857,                0.00857,                0.00857
                     15,                 1.3756,                 1.7656,                 1.8211,                0.40182,                0.37418,                0.31541,                0.12956,                 2.0299,                 2.9232,                 2.3855,                0.00846,                0.00846,                0.00846
                     16,                 1.3758,                 1.7698,                  1.822,                0.38995,                0.38055,                0.30307,                0.12222,                 2.0277,                 2.9158,                 2.3972,                0.00835,                0.00835,                0.00835
                     17,                 1.3892,                 1.7582,                 1.8212,                0.38625,                0.38896,                0.31903,                0.12672,                 2.0429,                 2.9253,                 2.4247,                0.00824,                0.00824,                0.00824
                     18,                 1.3865,                 1.7672,                 1.8161,                0.39901,                0.34814,                0.30966,                 0.1237,                 2.0309,                 2.9354,                 2.3801,                0.00813,                0.00813,                0.00813
                     19,                 1.3779,                 1.7374,                 1.8197,                0.38797,                0.36735,                0.31789,                 0.1257,                  2.031,                 3.0695,                 2.4229,                0.00802,                0.00802,                0.00802
                     20,                 1.3822,                 1.7457,                 1.8142,                0.44524,                0.34694,                0.32921,                 0.1283,                 2.0592,                 2.9918,                 2.4547,                0.00791,                0.00791,                0.00791
                     21,                 1.3757,                 1.7319,                 1.8155,                0.41803,                 0.3682,                0.30435,                 0.1217,                 2.0441,                 2.8064,                 2.4107,                 0.0078,                 0.0078,                 0.0078
                     22,                 1.3719,                 1.7323,                 1.8077,                0.38133,                0.37811,                0.31372,                 0.1313,                 2.0409,                 2.9068,                 2.3758,                0.00769,                0.00769,                0.00769
                     23,                 1.3731,                 1.7129,                 1.8026,                0.40736,                0.37455,                0.32648,                0.13431,                 2.0459,                 2.8672,                 2.3933,                0.00758,                0.00758,                0.00758
                     24,                  1.363,                   1.72,                  1.804,                0.40432,                0.35534,                0.31101,                0.13067,                  2.008,                 2.6923,                 2.3998,                0.00747,                0.00747,                0.00747
                     25,                 1.3523,                 1.7031,                 1.7953,                0.39888,                0.38175,                0.32255,                0.13677,                 2.0076,                 2.6475,                  2.352,                0.00736,                0.00736,                0.00736
                     26,                 1.3591,                 1.6932,                 1.7881,                0.42621,                0.37695,                0.32183,                0.13284,                 2.0543,                 2.6902,                 2.4354,                0.00725,                0.00725,                0.00725
                     27,                 1.3473,                 1.6882,                 1.7916,                0.38814,                0.38175,                0.32644,                0.13481,                 2.0389,                 2.9767,                 2.4091,                0.00714,                0.00714,                0.00714
                     28,                 1.3341,                 1.6803,                 1.7768,                0.36294,                0.40096,                0.31293,                0.12936,                 2.0391,                 2.8298,                 2.3993,                0.00703,                0.00703,                0.00703
                     29,                 1.3355,                 1.6583,                 1.7744,                0.42061,                0.37387,                0.32743,                0.13437,                  2.028,                 2.7574,                 2.4364,                0.00692,                0.00692,                0.00692
                     30,                 1.3405,                  1.677,                 1.7807,                0.40717,                0.35774,                0.32001,                 0.1248,                 2.0336,                  2.706,                 2.4228,                0.00681,                0.00681,                0.00681
                     31,                 1.3203,                 1.6563,                 1.7619,                0.37254,                0.37695,                0.31472,                0.13228,                 1.9824,                 2.9486,                 2.3628,                 0.0067,                 0.0067,                 0.0067
                     32,                 1.3223,                  1.634,                 1.7697,                 0.4189,                0.36975,                0.31386,                0.13247,                 2.0124,                 2.7293,                 2.3829,                0.00659,                0.00659,                0.00659
                     33,                 1.3215,                 1.6364,                 1.7599,                0.40107,                0.38535,                0.33028,                0.13623,                  2.033,                 2.9039,                 2.4232,                0.00648,                0.00648,                0.00648
                     34,                 1.3247,                 1.6251,                 1.7588,                0.42548,                0.37695,                0.32014,                0.12913,                  2.027,                 2.7783,                 2.4263,                0.00637,                0.00637,                0.00637
                     35,                 1.3219,                 1.6129,                 1.7492,                0.44007,                0.36255,                0.32403,                0.13504,                 2.0416,                 2.8338,                 2.4123,                0.00626,                0.00626,                0.00626
                     36,                 1.3072,                 1.5912,                 1.7375,                0.43465,                0.35349,                0.31226,                0.12833,                 2.0488,                 2.9082,                  2.437,                0.00615,                0.00615,                0.00615
                     37,                 1.2915,                 1.5832,                 1.7289,                0.39278,                0.37095,                0.30461,                 0.1282,                 2.0512,                 2.9154,                 2.4371,                0.00604,                0.00604,                0.00604
                     38,                 1.2963,                 1.6106,                 1.7331,                0.41775,                0.36855,                0.31028,                0.12827,                 2.0225,                 2.8486,                 2.4062,                0.00593,                0.00593,                0.00593
                     39,                 1.3073,                 1.6074,                  1.748,                0.39463,                0.42737,                0.31753,                0.13373,                 2.0342,                 2.7849,                  2.417,                0.00582,                0.00582,                0.00582
                     40,                 1.2962,                 1.5773,                 1.7399,                0.43959,                0.37695,                0.32678,                0.13421,                 2.0363,                 2.9319,                 2.4166,                0.00571,                0.00571,                0.00571
                     41,                 1.2926,                 1.5728,                 1.7238,                0.38545,                0.39376,                0.30391,                0.12753,                 2.0354,                 2.8856,                 2.4291,                 0.0056,                 0.0056,                 0.0056
                     42,                 1.2841,                 1.5658,                 1.7123,                0.42396,                0.37455,                0.31386,                0.13287,                 2.0089,                 2.8386,                 2.4098,                0.00549,                0.00549,                0.00549
                     43,                 1.2829,                 1.5478,                 1.7212,                0.44634,                0.37455,                0.33242,                0.13749,                 2.0385,                 2.8797,                 2.4443,                0.00538,                0.00538,                0.00538
                     44,                 1.2813,                 1.5427,                 1.7216,                 0.4281,                0.36664,                0.32573,                0.14258,                 2.0208,                 2.8673,                 2.4258,                0.00527,                0.00527,                0.00527
                     45,                 1.2775,                 1.5277,                 1.7036,                0.42223,                0.36408,                0.31959,                0.13426,                 2.0332,                 2.8572,                 2.4224,                0.00516,                0.00516,                0.00516
                     46,                 1.2817,                 1.5333,                 1.7156,                 0.4212,                0.39856,                0.32959,                0.14151,                 2.0244,                 2.7661,                  2.431,                0.00505,                0.00505,                0.00505
