                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4144,                 1.3341,                 1.7893,                0.60885,                0.56858,                0.60142,                 0.2714,                 1.7393,                 2.2548,                 2.0436,               0.003466,               0.003466,               0.003466
                     35,                 1.4087,                 1.3317,                 1.7766,                0.60813,                0.57708,                0.60744,                 0.2738,                 1.7338,                 2.4149,                  2.049,               0.003268,               0.003268,               0.003268
                     36,                 1.4045,                 1.3199,                 1.7806,                0.63274,                0.56166,                0.59425,                0.27032,                 1.7327,                 2.2915,                 2.0417,                0.00307,                0.00307,                0.00307
                     37,                 1.3956,                 1.3081,                 1.7673,                0.63782,                0.54826,                0.60229,                0.27038,                 1.7384,                 2.2616,                 2.0589,               0.002872,               0.002872,               0.002872
                     38,                 1.3947,                 1.3032,                 1.7658,                0.66423,                0.53418,                0.59588,                0.26432,                 1.7249,                 2.2824,                 2.0261,               0.002674,               0.002674,               0.002674
                     39,                  1.389,                 1.2869,                 1.7621,                0.62336,                 0.5724,                0.60892,                0.27576,                 1.7286,                 2.3452,                  2.044,               0.002476,               0.002476,               0.002476
                     40,                 1.5118,                 1.2387,                 1.8213,                0.64435,                0.54357,                0.60832,                0.28133,                 1.7183,                 2.2225,                 2.0337,               0.002278,               0.002278,               0.002278
                     41,                 1.4868,                 1.1988,                 1.8046,                0.65256,                0.56166,                0.61029,                0.27737,                 1.7311,                 2.1888,                 2.0426,                0.00208,                0.00208,                0.00208
                     42,                  1.483,                 1.1835,                 1.7998,                0.61665,                0.57788,                0.60353,                0.27461,                 1.7244,                 2.2101,                 2.0322,               0.001882,               0.001882,               0.001882
                     43,                 1.4721,                 1.1651,                 1.7969,                0.63453,                0.56099,                0.61372,                0.28223,                 1.7279,                  2.271,                 2.0397,               0.001684,               0.001684,               0.001684
                     44,                  1.474,                 1.1518,                 1.7923,                0.62536,                0.57239,                 0.6066,                0.27387,                 1.7416,                 2.2422,                 2.0469,               0.001486,               0.001486,               0.001486
                     45,                 1.4519,                 1.1316,                  1.781,                0.61505,                0.57574,                0.60063,                 0.2783,                 1.7248,                 2.2525,                 2.0373,               0.001288,               0.001288,               0.001288
                     46,                 1.4459,                  1.124,                 1.7772,                0.64132,                0.56084,                0.61288,                 0.2837,                 1.7255,                  2.243,                 2.0396,                0.00109,                0.00109,                0.00109
                     47,                 1.4336,                 1.1217,                 1.7572,                0.61745,                0.57172,                0.60704,                0.28076,                 1.7278,                 2.2018,                 2.0465,               0.000892,               0.000892,               0.000892
                     48,                 1.4201,                 1.0815,                 1.7455,                 0.6042,                0.58445,                0.60751,                0.28141,                 1.7336,                 2.1723,                 2.0513,               0.000694,               0.000694,               0.000694
                     49,                 1.4207,                 1.0855,                 1.7452,                0.62635,                0.56635,                0.60312,                0.27715,                 1.7552,                 2.2554,                 2.0728,               0.000496,               0.000496,               0.000496
