                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3876,                 1.7868,                 1.8222,                0.37678,                0.38415,                0.31658,                0.13323,                 1.9685,                  2.819,                 2.3315,               0.006733,               0.006733,               0.006733
                     35,                   1.39,                 1.7671,                 1.8198,                 0.4563,                0.35565,                0.32823,                0.13331,                 2.0025,                 2.7512,                 2.3622,               0.006634,               0.006634,               0.006634
                     36,                 1.3721,                 1.7477,                 1.8067,                0.37975,                0.37935,                0.30802,                0.13121,                 2.0055,                 2.8467,                 2.3841,               0.006535,               0.006535,               0.006535
                     37,                 1.3591,                 1.7302,                 1.7964,                0.38524,                0.37455,                0.32026,                0.13256,                 2.0074,                 2.8613,                 2.3592,               0.006436,               0.006436,               0.006436
                     38,                 1.3653,                 1.7628,                 1.8023,                 0.4041,                0.41537,                0.33655,                0.13959,                 2.0006,                 2.7933,                 2.3466,               0.006337,               0.006337,               0.006337
                     39,                  1.371,                 1.7486,                 1.8125,                0.40567,                0.36735,                0.32951,                0.13671,                 1.9829,                 2.7758,                 2.3725,               0.006238,               0.006238,               0.006238
                     40,                  1.354,                 1.7281,                 1.8001,                0.41751,                0.39136,                0.33747,                0.13779,                 2.0171,                 2.8914,                 2.3838,               0.006139,               0.006139,               0.006139
                     41,                 1.3648,                 1.7246,                 1.7982,                0.41994,                0.39856,                0.32668,                0.13795,                 1.9974,                 2.6859,                 2.3618,                0.00604,                0.00604,                0.00604
                     42,                 1.3644,                  1.713,                 1.7899,                0.41857,                0.37575,                0.34522,                0.14606,                 1.9993,                 2.7621,                 2.3735,               0.005941,               0.005941,               0.005941
                     43,                  1.353,                 1.6996,                  1.789,                0.41866,                0.41056,                0.33741,                 0.1405,                 1.9983,                 2.6812,                 2.3643,               0.005842,               0.005842,               0.005842
                     44,                 1.3493,                 1.7009,                 1.7891,                0.37667,                0.41657,                0.33838,                0.14314,                 1.9978,                 2.7154,                  2.361,               0.005743,               0.005743,               0.005743
                     45,                  1.342,                 1.6883,                 1.7717,                0.39886,                0.39736,                0.32586,                0.13722,                 1.9903,                 2.7096,                 2.3733,               0.005644,               0.005644,               0.005644
                     46,                 1.3352,                 1.6785,                 1.7744,                0.40759,                0.40471,                0.35574,                0.14651,                 1.9923,                 2.6334,                 2.3574,               0.005545,               0.005545,               0.005545
                     47,                  1.338,                 1.6851,                 1.7745,                0.42231,                0.37455,                0.32979,                0.13759,                 1.9845,                 2.8182,                 2.3608,               0.005446,               0.005446,               0.005446
                     48,                 1.3311,                 1.6828,                 1.7699,                0.42304,                0.39496,                0.33552,                0.13866,                 2.0028,                  2.741,                 2.3716,               0.005347,               0.005347,               0.005347
                     49,                 1.3236,                 1.6613,                 1.7646,                0.43905,                0.37335,                0.33216,                0.13855,                  2.004,                 2.7835,                 2.3625,               0.005248,               0.005248,               0.005248
                     50,                 1.3196,                 1.6539,                 1.7553,                0.37043,                0.42257,                0.33139,                 0.1394,                 1.9759,                 2.6693,                 2.3479,               0.005149,               0.005149,               0.005149
                     51,                 1.3207,                 1.6418,                 1.7596,                0.41186,                0.38755,                0.33361,                0.14115,                 1.9945,                 2.6652,                 2.3574,                0.00505,                0.00505,                0.00505
                     52,                 1.3237,                 1.6389,                  1.758,                 0.4028,                0.39351,                0.33256,                0.13531,                 2.0236,                 2.7834,                 2.3938,               0.004951,               0.004951,               0.004951
                     53,                 1.3089,                 1.6117,                 1.7474,                 0.4172,                0.39376,                0.33635,                0.13843,                 2.0101,                 2.8204,                 2.3822,               0.004852,               0.004852,               0.004852
                     54,                 1.3068,                 1.6147,                 1.7357,                0.41154,                0.39039,                0.33379,                0.13739,                 2.0042,                 2.7984,                 2.3747,               0.004753,               0.004753,               0.004753
                     55,                 1.3023,                 1.6064,                 1.7492,                0.40609,                0.39616,                0.33436,                0.13961,                 1.9951,                  2.728,                 2.3535,               0.004654,               0.004654,               0.004654
                     56,                 1.3034,                 1.6168,                 1.7444,                0.43562,                0.39256,                0.33595,                0.13844,                 1.9919,                 2.7321,                 2.3735,               0.004555,               0.004555,               0.004555
                     57,                 1.2948,                 1.5922,                  1.724,                0.42281,                0.39736,                0.33514,                0.13853,                 2.0055,                 2.7271,                 2.3645,               0.004456,               0.004456,               0.004456
                     58,                 1.2942,                  1.579,                  1.731,                0.43401,                0.38896,                0.33232,                0.13674,                 2.0028,                 2.7201,                 2.3637,               0.004357,               0.004357,               0.004357
                     59,                 1.2927,                 1.5885,                 1.7239,                0.44576,                0.39856,                0.33112,                0.13498,                 2.0009,                  2.824,                 2.3636,               0.004258,               0.004258,               0.004258
                     60,                 1.2729,                 1.5661,                 1.7133,                0.40586,                0.41176,                0.33771,                0.13739,                 1.9947,                 2.6861,                 2.3804,               0.004159,               0.004159,               0.004159
                     61,                 1.2761,                 1.5529,                 1.7196,                0.41905,                0.39376,                0.34009,                0.14493,                 1.9933,                 2.6404,                 2.3705,                0.00406,                0.00406,                0.00406
                     62,                  1.279,                 1.5504,                 1.7171,                0.45126,                0.38175,                0.34736,                0.14129,                 2.0171,                 2.7048,                 2.3936,               0.003961,               0.003961,               0.003961
                     63,                 1.2704,                 1.5445,                 1.7152,                0.45072,                0.37235,                0.34254,                0.14383,                  2.016,                 2.7283,                 2.4133,               0.003862,               0.003862,               0.003862
                     64,                 1.2828,                 1.5803,                  1.721,                0.46588,                0.34454,                 0.3365,                0.14068,                 2.0484,                 2.7374,                 2.4332,               0.003763,               0.003763,               0.003763
                     65,                 1.2623,                 1.5403,                 1.6959,                0.39691,                0.40846,                0.33211,                0.13752,                 2.0338,                 2.7617,                 2.4181,               0.003664,               0.003664,               0.003664
                     66,                 1.2622,                 1.5233,                 1.7032,                0.39733,                0.40456,                0.34026,                0.14359,                  2.022,                 2.6705,                 2.4034,               0.003565,               0.003565,               0.003565
                     67,                 1.2594,                 1.5132,                 1.7042,                0.41449,                0.40282,                0.33963,                0.14134,                  2.017,                 2.7532,                  2.404,               0.003466,               0.003466,               0.003466
                     68,                 1.2419,                 1.5035,                 1.6868,                0.44387,                0.37695,                0.33985,                0.14488,                  2.016,                 2.7363,                 2.4118,               0.003367,               0.003367,               0.003367
                     69,                 1.2545,                 1.5062,                 1.6869,                0.39613,                0.40216,                0.33186,                0.14014,                 2.0184,                 2.6759,                 2.4164,               0.003268,               0.003268,               0.003268
                     70,                 1.2441,                 1.5006,                 1.6859,                0.39176,                0.39496,                0.32842,                0.13825,                 2.0202,                 2.7917,                 2.4066,               0.003169,               0.003169,               0.003169
                     71,                 1.2395,                 1.4779,                 1.6766,                 0.4245,                0.38535,                0.32656,                0.13554,                 2.0189,                 2.7789,                 2.3995,                0.00307,                0.00307,                0.00307
                     72,                 1.2428,                 1.4867,                  1.674,                0.39901,                0.39736,                0.32498,                0.13578,                 2.0147,                 2.7544,                 2.4047,               0.002971,               0.002971,               0.002971
                     73,                 1.2367,                   1.46,                 1.6806,                0.40708,                0.39136,                0.32924,                0.13851,                 2.0044,                 2.7464,                 2.3969,               0.002872,               0.002872,               0.002872
                     74,                  1.229,                 1.4645,                 1.6763,                0.42184,                0.38896,                0.32415,                0.13786,                  1.999,                 2.7607,                   2.39,               0.002773,               0.002773,               0.002773
