                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5825,                 2.0655,                 2.1795,                0.44029,                 0.5106,                0.42144,                 0.2182,                 2.5002,                 1.9772,                 3.8801,               0.003466,               0.003466,               0.003466
                     35,                 1.5846,                 2.0583,                  2.187,                0.39918,                0.52659,                0.38873,                0.20203,                 2.4895,                 1.9475,                 3.8842,               0.003268,               0.003268,               0.003268
                     36,                 1.5732,                 2.0485,                 2.1734,                0.42471,                0.51419,                0.41172,                0.21561,                 2.4785,                 1.9473,                 3.9086,                0.00307,                0.00307,                0.00307
                     37,                 1.5708,                 2.0498,                 2.1712,                0.41229,                0.51976,                0.40301,                0.21087,                 2.4973,                  1.932,                 3.9444,               0.002872,               0.002872,               0.002872
                     38,                 1.5627,                 2.0349,                 2.1646,                 0.4385,                 0.5118,                0.40415,                0.21328,                 2.4853,                 1.9277,                 3.9664,               0.002674,               0.002674,               0.002674
                     39,                 1.5593,                 2.0402,                 2.1604,                0.41769,                0.51619,                0.39577,                0.20805,                 2.4687,                 1.9427,                  3.888,               0.002476,               0.002476,               0.002476
                     40,                 1.5353,                  1.828,                 2.1777,                0.42341,                 0.5473,                0.41113,                0.22338,                 2.4617,                 1.8554,                 4.1056,               0.002278,               0.002278,               0.002278
                     41,                 1.5033,                  1.774,                 2.1491,                0.42032,                0.53778,                0.39773,                0.21115,                 2.4514,                  1.861,                 4.0541,                0.00208,                0.00208,                0.00208
                     42,                 1.4957,                 1.7515,                 2.1467,                0.42234,                0.55538,                0.40768,                0.21677,                 2.4494,                 1.8198,                 4.0782,               0.001882,               0.001882,               0.001882
                     43,                 1.4839,                 1.7396,                 2.1359,                0.43098,                0.55098,                0.41952,                0.22338,                 2.4531,                 1.8214,                 4.0625,               0.001684,               0.001684,               0.001684
                     44,                 1.4721,                 1.7293,                  2.121,                0.43547,                0.56697,                0.43931,                0.24456,                  2.435,                 1.7788,                 4.0412,               0.001486,               0.001486,               0.001486
                     45,                  1.465,                 1.7137,                 2.1138,                0.43647,                0.54578,                0.43091,                0.23831,                 2.4186,                 1.7795,                 4.1333,               0.001288,               0.001288,               0.001288
                     46,                  1.465,                 1.7098,                 2.1108,                 0.4298,                0.55818,                0.41482,                0.22377,                 2.4392,                 1.7931,                 4.1686,                0.00109,                0.00109,                0.00109
                     47,                 1.4535,                 1.7033,                 2.0989,                0.42463,                0.56331,                0.41248,                0.22595,                 2.4367,                 1.7896,                 4.1895,               0.000892,               0.000892,               0.000892
                     48,                 1.4486,                 1.6848,                 2.0971,                 0.4442,                0.54978,                0.42262,                0.23087,                 2.4321,                 1.7748,                 4.1997,               0.000694,               0.000694,               0.000694
                     49,                 1.4376,                 1.6772,                 2.0813,                0.42238,                0.55058,                0.40337,                0.21558,                 2.4349,                 1.7882,                 4.2289,               0.000496,               0.000496,               0.000496
