                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5739,                 2.0156,                 2.1821,                 0.4313,                0.53978,                0.44259,                0.25132,                 2.4566,                 1.8603,                 4.1038,               0.070032,              0.0033298,              0.0033298
                      1,                 1.5606,                 2.0108,                  2.161,                0.43119,                0.52819,                0.42156,                0.23321,                  2.464,                 1.8891,                 4.0506,               0.039944,              0.0065751,              0.0065751
                      2,                 1.5709,                 2.0204,                 2.1736,                0.37592,                0.51619,                0.38086,                0.18896,                 2.5307,                 2.0255,                 4.0057,              0.0097683,              0.0097325,              0.0097325
                      3,                  1.593,                 2.0583,                 2.1976,                0.42589,                0.51105,                0.40463,                0.20876,                   2.52,                 2.0413,                 3.8835,               0.009604,               0.009604,               0.009604
                      4,                 1.6035,                 2.0592,                 2.2043,                0.39328,                0.53179,                 0.3665,                0.18272,                 2.5346,                 2.0564,                 3.7644,               0.009604,               0.009604,               0.009604
                      5,                  1.605,                 2.0577,                 2.2087,                0.42007,                0.50134,                0.39962,                0.20402,                 2.5455,                  2.105,                 4.0718,               0.009472,               0.009472,               0.009472
                      6,                 1.5878,                 2.0509,                  2.198,                0.39387,                 0.5082,                0.38639,                0.19199,                 2.5527,                 2.0077,                 4.1124,                0.00934,                0.00934,                0.00934
                      7,                 1.6005,                 2.0608,                 2.2026,                0.43005,                 0.5038,                0.42779,                0.22288,                 2.5372,                 1.9602,                 3.9044,               0.009208,               0.009208,               0.009208
                      8,                 1.5959,                  2.047,                 2.1995,                0.41662,                0.52179,                0.40443,                0.21054,                  2.528,                 1.9555,                 4.0014,               0.009076,               0.009076,               0.009076
                      9,                 1.5928,                 2.0418,                 2.2009,                0.40892,                0.51699,                0.36848,                0.18655,                 2.4867,                 2.0348,                 4.0045,               0.008944,               0.008944,               0.008944
                     10,                 1.6015,                 2.0551,                 2.2026,                0.42267,                0.52299,                0.42634,                0.22182,                 2.5092,                 1.9889,                 4.0016,               0.008812,               0.008812,               0.008812
                     11,                 1.5927,                 2.0482,                 2.1979,                0.43804,                0.51299,                0.43628,                0.23311,                 2.4973,                 1.9707,                 3.8274,                0.00868,                0.00868,                0.00868
                     12,                 1.5946,                 2.0497,                 2.2021,                0.42691,                0.52243,                0.41144,                0.21414,                 2.4924,                 2.0147,                 3.9011,               0.008548,               0.008548,               0.008548
                     13,                 1.5888,                 2.0422,                 2.1916,                0.41402,                0.51859,                0.37565,                0.18711,                 2.5315,                  2.071,                 4.1927,               0.008416,               0.008416,               0.008416
                     14,                 1.5898,                 2.0297,                 2.1979,                0.42416,                 0.5086,                0.39703,                0.20684,                 2.5094,                 2.0491,                 4.0626,               0.008284,               0.008284,               0.008284
                     15,                 1.5824,                 2.0263,                  2.193,                0.40619,                0.53772,                0.39147,                0.20418,                 2.4896,                  1.921,                 3.9862,               0.008152,               0.008152,               0.008152
                     16,                 1.5841,                 2.0177,                 2.1925,                0.43128,                0.51459,                0.42384,                0.22479,                 2.4768,                  1.913,                 3.9256,                0.00802,                0.00802,                0.00802
                     17,                 1.5751,                 2.0218,                 2.1854,                0.44354,                0.51939,                0.42728,                0.22299,                  2.503,                  1.914,                 3.9461,               0.007888,               0.007888,               0.007888
                     18,                 1.5777,                 2.0213,                 2.1839,                0.41741,                0.51859,                0.38957,                0.19682,                 2.5078,                 1.9683,                 3.9716,               0.007756,               0.007756,               0.007756
                     19,                   1.57,                  2.002,                 2.1764,                0.42953,                0.54218,                0.41809,                 0.2193,                 2.4721,                 1.8679,                 3.8742,               0.007624,               0.007624,               0.007624
                     20,                 1.5683,                 2.0118,                  2.173,                0.43146,                0.52464,                0.41631,                0.22221,                 2.4851,                 2.0143,                 4.0609,               0.007492,               0.007492,               0.007492
                     21,                 1.5628,                 1.9915,                 2.1674,                 0.4284,                0.53778,                0.41049,                0.21926,                 2.4598,                 1.9674,                 3.9504,                0.00736,                0.00736,                0.00736
                     22,                 1.5627,                 1.9952,                  2.166,                0.42856,                0.53219,                0.41996,                0.22367,                 2.4917,                  1.893,                  3.955,               0.007228,               0.007228,               0.007228
                     23,                 1.5514,                 1.9959,                 2.1607,                0.44302,                0.55978,                0.44555,                0.23922,                 2.4327,                 1.8218,                  3.797,               0.007096,               0.007096,               0.007096
                     24,                 1.5583,                 1.9941,                 2.1672,                0.45918,                0.53059,                 0.4553,                0.25114,                 2.4825,                  1.834,                 4.0348,               0.006964,               0.006964,               0.006964
                     25,                 1.5566,                 1.9916,                 2.1658,                0.42426,                0.54568,                0.43264,                 0.2287,                  2.469,                 1.8632,                 3.8977,               0.006832,               0.006832,               0.006832
                     26,                  1.548,                 1.9791,                 2.1575,                0.43743,                0.53778,                 0.4309,                0.23131,                 2.4587,                 1.8914,                 3.8777,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.5451,                 1.9886,                 2.1551,                0.44753,                0.55138,                0.42636,                0.23224,                 2.4561,                 1.8776,                 3.8282,               0.006568,               0.006568,               0.006568
                     28,                 1.5368,                 1.9809,                 2.1493,                 0.4601,                0.53938,                0.46492,                0.25254,                 2.4458,                 1.8365,                 3.9545,               0.006436,               0.006436,               0.006436
                     29,                 1.5382,                 1.9718,                 2.1451,                0.43834,                0.55258,                0.42549,                0.22427,                 2.4823,                 1.8605,                 3.9235,               0.006304,               0.006304,               0.006304
