                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3767,                  1.254,                 1.7493,                0.61962,                0.53418,                0.57324,                 0.2623,                 1.7391,                 2.4212,                 2.0375,               0.070032,              0.0033298,              0.0033298
                      1,                 1.3864,                 1.2731,                 1.7556,                 0.6117,                0.53619,                0.57153,                0.25718,                 1.7579,                 2.1298,                 2.0794,               0.039966,              0.0065972,              0.0065972
                      2,                 1.4241,                 1.3449,                 1.7866,                 0.6055,                0.52614,                0.56128,                0.24765,                 1.7559,                 3.1818,                 2.0651,              0.0098337,              0.0097985,              0.0097985
                      3,                 1.4833,                 1.4303,                 1.8367,                0.58551,                0.52949,                0.54328,                0.23525,                 1.7857,                 2.3845,                 2.0998,               0.009703,               0.009703,               0.009703
                      4,                 1.4998,                 1.4682,                   1.86,                0.62002,                0.52011,                0.57392,                0.25133,                 1.7977,                 2.8085,                 2.1019,               0.009703,               0.009703,               0.009703
                      5,                 1.5131,                 1.4769,                 1.8696,                0.58965,                0.55094,                0.56533,                0.24665,                 1.7823,                 3.3351,                 2.0902,               0.009604,               0.009604,               0.009604
                      6,                 1.5077,                 1.4725,                 1.8661,                 0.5813,                0.52614,                0.55319,                0.24049,                 1.7631,                  2.897,                 2.0865,               0.009505,               0.009505,               0.009505
                      7,                 1.5145,                 1.4619,                 1.8733,                0.58807,                0.54223,                0.56761,                0.24706,                 1.8182,                  2.482,                 2.1222,               0.009406,               0.009406,               0.009406
                      8,                 1.5002,                 1.4822,                 1.8666,                0.58609,                0.54287,                0.56033,                0.24016,                 1.8142,                 2.6486,                 2.1097,               0.009307,               0.009307,               0.009307
                      9,                 1.5048,                 1.4697,                 1.8631,                0.59937,                0.54491,                 0.5675,                0.25422,                 1.7349,                 2.9722,                 2.0342,               0.009208,               0.009208,               0.009208
                     10,                 1.5033,                 1.4652,                 1.8553,                0.58902,                0.54491,                0.55007,                0.23592,                   1.76,                 2.3897,                 2.0452,               0.009109,               0.009109,               0.009109
                     11,                 1.4993,                 1.4569,                 1.8579,                0.60045,                0.52346,                0.55197,                0.24216,                 1.7931,                 2.6499,                 2.0843,                0.00901,                0.00901,                0.00901
                     12,                 1.4899,                  1.453,                 1.8571,                0.64196,                0.52815,                0.59451,                0.26506,                 1.7771,                 2.4051,                 2.0728,               0.008911,               0.008911,               0.008911
                     13,                 1.4825,                 1.4487,                 1.8517,                0.59857,                0.55898,                0.58961,                0.25678,                 1.7985,                 2.1588,                 2.0971,               0.008812,               0.008812,               0.008812
                     14,                 1.4904,                 1.4405,                 1.8536,                0.60049,                0.54155,                0.55588,                0.25029,                 1.7645,                 2.2867,                 2.0678,               0.008713,               0.008713,               0.008713
                     15,                 1.4792,                 1.4383,                 1.8461,                0.62837,                0.53954,                0.58282,                0.25671,                  1.759,                 2.5179,                 2.0466,               0.008614,               0.008614,               0.008614
                     16,                 1.4851,                 1.4442,                 1.8494,                0.60281,                0.54827,                0.57025,                0.25318,                 1.7806,                 2.5154,                 2.0818,               0.008515,               0.008515,               0.008515
                     17,                 1.4757,                 1.4254,                 1.8376,                0.63603,                0.53876,                0.57964,                0.25281,                 1.7665,                 2.5062,                 2.0516,               0.008416,               0.008416,               0.008416
                     18,                 1.4728,                 1.4157,                 1.8458,                0.60101,                0.54826,                0.58443,                0.26184,                 1.7612,                 2.5734,                 2.0585,               0.008317,               0.008317,               0.008317
