                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4497,                 1.8234,                 2.0628,                0.45524,                0.55733,                0.46646,                0.25614,                  2.419,                 1.7553,                 4.1392,               0.070032,              0.0033298,              0.0033298
                      1,                 1.4615,                 1.8511,                 2.0678,                0.44304,                0.56617,                0.45195,                0.24817,                 2.4328,                 1.7754,                 4.1364,               0.039944,              0.0065751,              0.0065751
                      2,                 1.4908,                 1.8865,                 2.0992,                0.43269,                 0.5465,                0.43699,                0.23025,                 2.4394,                 1.8678,                 3.9456,              0.0097683,              0.0097325,              0.0097325
                      3,                 1.5197,                 1.9392,                 2.1292,                0.44724,                0.52659,                0.43481,                0.23092,                 2.4867,                 1.8721,                 3.9586,               0.009604,               0.009604,               0.009604
                      4,                 1.5399,                 1.9421,                 2.1453,                0.40929,                0.55338,                 0.4006,                0.20677,                 2.5075,                 1.9451,                 3.9652,               0.009604,               0.009604,               0.009604
                      5,                 1.5395,                 1.9466,                 2.1519,                 0.4204,                0.53978,                0.42546,                0.22751,                 2.4844,                 1.9398,                 3.9239,               0.009472,               0.009472,               0.009472
                      6,                 1.5285,                 1.9492,                 2.1436,                 0.4223,                0.56297,                 0.4335,                0.22472,                 2.5034,                 1.8695,                   4.04,                0.00934,                0.00934,                0.00934
                      7,                 1.5383,                 1.9575,                 2.1434,                0.45631,                0.53858,                0.45855,                0.24386,                 2.4834,                 1.8659,                 3.9567,               0.009208,               0.009208,               0.009208
                      8,                 1.5327,                 1.9392,                 2.1411,                0.44225,                0.52499,                0.44733,                0.23659,                 2.5014,                 1.8765,                 4.1221,               0.009076,               0.009076,               0.009076
                      9,                 1.5323,                 1.9481,                 2.1424,                0.40684,                0.51499,                0.36686,                0.18666,                 2.4621,                 1.9273,                 3.9803,               0.008944,               0.008944,               0.008944
                     10,                 1.5333,                 1.9526,                 2.1413,                0.43135,                0.55978,                0.43682,                0.22914,                 2.5103,                 1.9056,                 4.0621,               0.008812,               0.008812,               0.008812
                     11,                 1.5243,                 1.9508,                 2.1353,                0.43325,                0.54578,                0.46409,                0.25436,                 2.4689,                 1.8406,                 3.8329,                0.00868,                0.00868,                0.00868
                     12,                 1.5339,                 1.9468,                 2.1449,                0.45751,                0.54058,                0.45442,                0.23839,                 2.4857,                 1.8351,                 3.9752,               0.008548,               0.008548,               0.008548
                     13,                 1.5215,                 1.9419,                 2.1337,                0.45577,                0.54058,                0.44256,                0.23302,                 2.4752,                 1.9194,                  4.066,               0.008416,               0.008416,               0.008416
                     14,                 1.5253,                 1.9364,                 2.1377,                0.41764,                0.54938,                0.40968,                0.21378,                 2.4735,                 1.9138,                 4.1142,               0.008284,               0.008284,               0.008284
                     15,                 1.5158,                 1.9265,                 2.1297,                0.44354,                 0.5437,                0.44225,                0.23574,                 2.4545,                 1.8645,                 3.9143,               0.008152,               0.008152,               0.008152
                     16,                 1.5217,                 1.9193,                 2.1332,                 0.4318,                0.56337,                0.45197,                0.24006,                 2.4636,                 1.8179,                 3.9451,                0.00802,                0.00802,                0.00802
                     17,                 1.5145,                 1.9201,                 2.1242,                0.46167,                0.53019,                0.46969,                0.24903,                 2.4796,                  1.863,                 4.0885,               0.007888,               0.007888,               0.007888
                     18,                 1.5136,                 1.9167,                 2.1211,                0.43161,                0.53259,                0.43961,                0.23339,                 2.4895,                 1.8352,                 3.9665,               0.007756,               0.007756,               0.007756
                     19,                 1.5036,                 1.9079,                 2.1143,                0.43318,                0.55058,                0.43102,                0.23177,                 2.4546,                 1.8226,                 3.9686,               0.007624,               0.007624,               0.007624
                     20,                 1.5076,                 1.9159,                  2.113,                0.44371,                0.54298,                0.45065,                0.24373,                  2.472,                 1.8478,                 4.0866,               0.007492,               0.007492,               0.007492
                     21,                 1.5035,                 1.8929,                 2.1099,                0.45967,                0.53459,                0.45364,                0.24913,                 2.4294,                 1.8114,                 3.8971,                0.00736,                0.00736,                0.00736
                     22,                 1.5024,                 1.8957,                 2.1033,                 0.4229,                  0.545,                0.42797,                0.23103,                 2.4668,                 1.8265,                 4.0424,               0.007228,               0.007228,               0.007228
                     23,                 1.4891,                 1.8974,                 2.1005,                0.45134,                0.55138,                0.46433,                0.25353,                 2.4338,                 1.8072,                 3.8947,               0.007096,               0.007096,               0.007096
                     24,                 1.4959,                 1.8923,                 2.1046,                0.44865,                0.54628,                0.45733,                0.25099,                 2.4592,                 1.7807,                 4.0832,               0.006964,               0.006964,               0.006964
                     25,                 1.4996,                 1.8886,                 2.1087,                0.44285,                0.56417,                0.45785,                0.24661,                 2.4462,                  1.761,                 4.0778,               0.006832,               0.006832,               0.006832
                     26,                 1.4861,                 1.8785,                 2.0975,                0.42907,                0.57577,                0.44023,                0.23867,                 2.4648,                 1.7921,                 3.9777,                 0.0067,                 0.0067,                 0.0067
                     27,                 1.4851,                 1.8858,                  2.098,                0.44798,                0.54218,                0.43703,                0.24279,                 2.4417,                 1.8119,                 4.0224,               0.006568,               0.006568,               0.006568
                     28,                 1.4836,                 1.8777,                 2.0967,                0.46687,                0.54378,                0.48367,                 0.2698,                 2.4454,                 1.7687,                   3.99,               0.006436,               0.006436,               0.006436
                     29,                 1.4811,                 1.8772,                 2.0877,                0.42408,                0.55458,                0.43229,                0.22634,                 2.4671,                 1.7925,                 3.9914,               0.006304,               0.006304,               0.006304
                     30,                 1.4797,                 1.8743,                 2.0873,                0.45182,                0.56297,                0.44942,                 0.2414,                 2.4684,                 1.7844,                 3.9708,               0.006172,               0.006172,               0.006172
                     31,                 1.4771,                 1.8664,                 2.0845,                 0.4543,                0.55098,                0.48108,                0.26527,                 2.4583,                 1.7321,                 3.9783,                0.00604,                0.00604,                0.00604
                     32,                 1.4795,                  1.861,                 2.0897,                0.46216,                0.54258,                0.46401,                0.25145,                 2.4468,                 1.7631,                 3.9961,               0.005908,               0.005908,               0.005908
                     33,                 1.4754,                 1.8573,                 2.0789,                0.43222,                0.56777,                0.42711,                0.22949,                 2.4545,                 1.7665,                 4.0597,               0.005776,               0.005776,               0.005776
                     34,                 1.4697,                 1.8567,                  2.076,                0.46389,                0.55738,                0.46615,                0.25401,                 2.4482,                 1.7803,                 3.9928,               0.005644,               0.005644,               0.005644
                     35,                 1.4695,                 1.8446,                 2.0823,                0.44588,                0.54778,                0.44539,                0.23603,                 2.4518,                 1.7966,                 3.9412,               0.005512,               0.005512,               0.005512
