                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8574,                 2.9006,                 2.2704,                0.25341,                0.26411,                0.15457,                 0.0531,                  2.045,                 4.1277,                 2.3989,               0.070032,              0.0033298,              0.0033298
                      1,                 1.8419,                 2.8855,                 2.2611,                0.22741,                 0.2533,                0.14813,                0.04898,                 2.0778,                 3.7203,                 2.4246,               0.039966,              0.0065972,              0.0065972
                      2,                 1.8793,                 2.9341,                 2.2932,                0.19666,                0.27971,                0.13706,                0.04251,                  2.089,                 4.7038,                 2.4808,              0.0098338,              0.0097985,              0.0097985
                      3,                    1.9,                 2.9415,                 2.3498,                0.20246,                 0.2473,                 0.1321,                 0.0404,                 2.1479,                 4.7594,                 2.5111,               0.009703,               0.009703,               0.009703
                      4,                 1.8639,                 2.9008,                 2.3062,                0.22234,                0.27491,                0.14401,                0.04729,                 2.0643,                 4.2691,                 2.4175,               0.009703,               0.009703,               0.009703
                      5,                 1.8582,                 2.8748,                 2.2985,                0.22435,                0.27971,                0.15258,                0.05026,                 2.0568,                 4.0485,                  2.403,               0.009604,               0.009604,               0.009604
                      6,                 1.8379,                 2.8348,                 2.2728,                0.24735,                 0.2497,                0.14166,                0.04891,                 2.0173,                 3.9586,                 2.3676,               0.009505,               0.009505,               0.009505
                      7,                 1.8252,                 2.8219,                 2.2479,                0.19483,                 0.2449,                0.14189,                0.04764,                  2.085,                 3.8623,                 2.4048,               0.009406,               0.009406,               0.009406
                      8,                 1.7813,                 2.7632,                 2.2213,                0.21047,                0.27074,                0.14291,                 0.0488,                 1.9948,                 3.7141,                 2.3651,               0.009307,               0.009307,               0.009307
                      9,                 1.7914,                 2.7553,                 2.2346,                0.24692,                0.26531,                0.15458,                0.05397,                 2.0309,                  3.953,                 2.3905,               0.009208,               0.009208,               0.009208
                     10,                 1.7898,                 2.7704,                 2.2248,                0.21955,                0.27731,                0.15268,                 0.0501,                 2.0213,                 4.1435,                 2.3652,               0.009109,               0.009109,               0.009109
                     11,                  1.782,                 2.7356,                 2.2133,                0.26101,                0.29257,                 0.1714,                0.06079,                 1.9909,                 3.7529,                 2.3402,                0.00901,                0.00901,                0.00901
                     12,                 1.7528,                 2.7126,                 2.1983,                0.23784,                0.29292,                0.16063,                0.05595,                 1.9801,                  4.047,                 2.3327,               0.008911,               0.008911,               0.008911
                     13,                 1.7497,                 2.6706,                 2.1778,                0.24263,                0.31813,                0.16764,                0.05823,                 1.9873,                 3.5164,                 2.3078,               0.008812,               0.008812,               0.008812
                     14,                 1.7382,                 2.6637,                 2.1749,                0.22302,                0.29172,                0.16381,                0.06116,                 1.9742,                 3.9193,                 2.3177,               0.008713,               0.008713,               0.008713
                     15,                 1.7135,                 2.6183,                  2.162,                 0.2962,                0.29172,                0.20218,                0.07426,                 1.9618,                 3.2997,                 2.3146,               0.008614,               0.008614,               0.008614
                     16,                 1.7103,                 2.6172,                 2.1612,                0.28502,                0.31824,                0.19613,                 0.0686,                 1.9695,                 3.3372,                 2.3386,               0.008515,               0.008515,               0.008515
                     17,                 1.7147,                 2.6115,                 2.1483,                0.28385,                0.32413,                0.21762,                0.07549,                 1.9525,                 3.6205,                 2.2832,               0.008416,               0.008416,               0.008416
                     18,                 1.7064,                 2.5994,                 2.1473,                0.27931,                0.31693,                0.21178,                0.07783,                 1.9691,                 3.5251,                 2.3243,               0.008317,               0.008317,               0.008317
                     19,                 1.6991,                 2.5695,                 2.1437,                0.26817,                0.29412,                0.18995,                0.07112,                 1.9116,                 3.6677,                 2.2591,               0.008218,               0.008218,               0.008218
                     20,                 1.6956,                 2.5713,                 2.1323,                0.29499,                0.29412,                 0.2074,                0.07534,                 1.9229,                 3.6937,                 2.2668,               0.008119,               0.008119,               0.008119
                     21,                 1.6946,                   2.55,                 2.1356,                0.30117,                0.31453,                 0.2112,                0.08056,                 1.9483,                 3.4572,                 2.2862,                0.00802,                0.00802,                0.00802
                     22,                 1.6833,                 2.5738,                 2.1362,                0.25145,                0.32893,                0.19309,                0.07187,                 1.9418,                 3.5397,                 2.2769,               0.007921,               0.007921,               0.007921
                     23,                 1.6869,                 2.5284,                 2.1225,                0.26568,                0.32533,                0.20496,                0.07351,                 1.9587,                  3.473,                 2.3026,               0.007822,               0.007822,               0.007822
