                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9064,                 2.8499,                 2.1722,                0.32242,                 0.3445,                0.24607,                 0.0886,                 1.9718,                 4.2208,                 2.1998,               0.070032,              0.0033298,              0.0033298
                      1,                 1.8608,                 2.3424,                 2.1376,                 0.3729,                0.30831,                0.26847,                0.09919,                 1.9954,                 8.4007,                 2.2585,               0.039966,              0.0065972,              0.0065972
                      2,                 1.8904,                 2.3759,                 2.2033,                0.30647,                0.27681,                0.20918,                0.07042,                 2.1404,                 5.3509,                  2.465,              0.0098337,              0.0097985,              0.0097985
                      3,                 1.9007,                 2.3627,                 2.2069,                0.35029,                0.36997,                0.27957,                 0.1012,                 1.9905,                 3.8094,                 2.2458,               0.009703,               0.009703,               0.009703
                      4,                 1.8519,                 2.2808,                 2.1744,                0.40983,                0.37421,                0.33831,                0.13024,                 1.9313,                 3.0854,                  2.214,               0.009703,               0.009703,               0.009703
                      5,                 1.8352,                 2.2337,                 2.1673,                0.44616,                0.40952,                 0.3625,                0.13359,                 1.9534,                 6.1426,                 2.2283,               0.009604,               0.009604,               0.009604
                      6,                 1.7975,                 2.1505,                  2.131,                0.47153,                0.42292,                0.41843,                0.17118,                 1.8152,                  4.059,                 2.0765,               0.009505,               0.009505,               0.009505
                      7,                 1.7904,                 2.1108,                  2.127,                0.46794,                0.45643,                0.42181,                0.16623,                 1.8618,                 3.8869,                 2.1232,               0.009406,               0.009406,               0.009406
                      8,                 1.7671,                 2.0903,                 2.1136,                0.51221,                0.45254,                0.45523,                  0.177,                 1.8206,                 3.2934,                 2.1136,               0.009307,               0.009307,               0.009307
                      9,                 1.7603,                 2.0559,                 2.1018,                0.48146,                0.45989,                0.44052,                0.17885,                 1.8039,                 3.2413,                 2.0892,               0.009208,               0.009208,               0.009208
                     10,                 1.7456,                 2.0072,                 2.0864,                0.42957,                0.47855,                0.40693,                0.16177,                 1.8213,                 3.2191,                  2.117,               0.009109,               0.009109,               0.009109
                     11,                 1.7313,                 1.9766,                   2.08,                0.51713,                0.45777,                0.46034,                 0.1841,                 1.8449,                 3.4553,                 2.1203,                0.00901,                0.00901,                0.00901
                     12,                 1.7226,                 1.9593,                 2.0789,                0.47615,                0.46239,                0.42759,                 0.1714,                 1.8417,                 3.0859,                 2.1409,               0.008911,               0.008911,               0.008911
